date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:00:50	39064/39064	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2015:00:48%20GMT	http://encompass.red-gate.com/event/meeting-cambridge-walk/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/meeting-cambridge-walk/index.html	(from http://encompass.red-gate.com/calendar/list/?tribe_event_display=past&tribe_paged=13)
15:00:50	36459/36459	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2015:00:49%20GMT	http://encompass.red-gate.com/event/cambridge-queer-valentines/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/cambridge-queer-valentines/index.html	(from http://encompass.red-gate.com/calendar/list/?tribe_event_display=past&tribe_paged=13)
15:00:50	39831/39831	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2015:00:48%20GMT	http://encompass.red-gate.com/event/interact-cambridge-4/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/interact-cambridge-4/index.html	(from http://encompass.red-gate.com/calendar/list/?tribe_event_display=past&tribe_paged=13)
15:00:51	1917/1917	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:00:48%20GMT	http://encompass.red-gate.com/wp-json/tribe/events/v1/events/1299	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/tribe/events/v1/events/1299.json	(from http://encompass.red-gate.com/event/rainbow-cake-sale-2/)
15:00:51	39763/39763	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2015:00:50%20GMT	http://encompass.red-gate.com/event/feeling-progress-emotion-activism-lgbti-rights/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/feeling-progress-emotion-activism-lgbti-rights/index.html	(from http://encompass.red-gate.com/calendar/list/?tribe_event_display=past&tribe_paged=13)
15:00:51	39396/39396	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2015:00:50%20GMT	http://encompass.red-gate.com/event/bridging-binaries-pilot-lgbtq-tours-zoology-museum-3/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/bridging-binaries-pilot-lgbtq-tours-zoology-museum-3/index.html	(from http://encompass.red-gate.com/calendar/list/?tribe_event_display=past&tribe_paged=13)
15:00:51	38245/38245	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2015:00:50%20GMT	http://encompass.red-gate.com/event/trash-waste-excess-queer-cultures-part/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/trash-waste-excess-queer-cultures-part/index.html	(from http://encompass.red-gate.com/calendar/list/?tribe_event_display=past&tribe_paged=13)
15:00:52	38797/38797	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2015:00:51%20GMT	http://encompass.red-gate.com/event/writing-workshop-aude-konan/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/writing-workshop-aude-konan/index.html	(from http://encompass.red-gate.com/calendar/list/?tribe_event_display=past&tribe_paged=13)
15:00:52	38242/38242	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2015:00:51%20GMT	http://encompass.red-gate.com/event/sing-glad-singing-workshop/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/sing-glad-singing-workshop/index.html	(from http://encompass.red-gate.com/calendar/list/?tribe_event_display=past&tribe_paged=13)
15:00:52	39082/39082	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2015:00:51%20GMT	http://encompass.red-gate.com/event/bridging-binaries-pilot-lgbtq-tours-fitzwilliam-museum-3/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/bridging-binaries-pilot-lgbtq-tours-fitzwilliam-museum-3/index.html	(from http://encompass.red-gate.com/calendar/list/?tribe_event_display=past&tribe_paged=13)
15:00:53	37854/37854	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jan%202020%2015:00:52%20GMT	http://encompass.red-gate.com/event/trash-waste-excess-queer-cultures-part-ii/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/trash-waste-excess-queer-cultures-part-ii/index.html	(from http://encompass.red-gate.com/calendar/list/?tribe_event_display=past&tribe_paged=13)
15:00:53	868/868	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c62612e39c01b5922e32bd6a23bb5a7d-gzip%22	http://encompass.red-gate.com/event/rainbow-cake-sale-2/feed/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/rainbow-cake-sale-2/feed/index.html	(from http://encompass.red-gate.com/event/rainbow-cake-sale-2/)
15:00:53	2385/2385	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:00:51%20GMT	http://encompass.red-gate.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fencompass.red-gate.com%2Fevent%2Fsappho-short-cultural-history%2F	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/oembed/1.0/embedb53c.json	(from http://encompass.red-gate.com/event/sappho-short-cultural-history/)
15:00:53	1836/1836	---M-Z	200	added ('OK')	application/json	date:Wed,%2008%20Jan%202020%2015:00:52%20GMT	http://encompass.red-gate.com/wp-json/tribe/events/v1/events/1351	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/wp-json/tribe/events/v1/events/1351.json	(from http://encompass.red-gate.com/event/sappho-short-cultural-history/)
15:00:53	6/6	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jan%202020%2015:00:53%20GMT	http://encompass.red-gate.com/?p=1299	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/indexd201.html	(from http://encompass.red-gate.com/event/rainbow-cake-sale-2/)
15:00:54	694/694	---M--	200	added ('OK')	text/calendar	date:Wed,%2008%20Jan%202020%2015:00:53%20GMT	http://encompass.red-gate.com/event/rainbow-cake-sale-2/?ical=1	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/rainbow-cake-sale-2/indexedf3.html	(from http://encompass.red-gate.com/event/rainbow-cake-sale-2/)
15:00:54	908/908	---M-Z	200	added ('OK')	application/rss+xml	etag:%2258048d5148763543580609b731057a71-gzip%22	http://encompass.red-gate.com/event/sappho-short-cultural-history/feed/	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/event/sappho-short-cultural-history/feed/index.html	(from http://encompass.red-gate.com/event/sappho-short-cultural-history/)
15:00:54	13868/13868	---M--	200	added ('OK')	image/jpeg	etag:%223f83cab6-362c-57d539c573857%22	http://encompassnetwork.org.uk/wp-content/uploads/2018/12/singout.jpg	C:/Users/ian.johnson/websites/EncompassNetwork/encompassnetwork.org.uk/wp-content/uploads/2018/12/singout.jpg	(from http://encompass.red-gate.com/event/singout-cambridge-6/)
15:00:54	6/6	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jan%202020%2015:00:54%20GMT	http://encompass.red-gate.com/?p=1351	C:/Users/ian.johnson/websites/EncompassNetwork/encompass.red-gate.com/index48d3.html	(from http://encompass.red-gate.com/event/sappho-short-cultural-history/)
